# r frac rho dNdR
23.4 0.446573729787 0.184849821805 568.00712923
23.5 0.446018128017 0.182235649936 564.067969602
23.6 0.44563621334 0.179669314192 560.387262548
23.7 0.445438407523 0.177149742066 556.973767747
23.8 0.445234599194 0.174675889478 553.586699988
23.9 0.445026578961 0.172246739913 550.22792336
24.0 0.444811228125 0.169861303573 546.893222732
24.1 0.444448400085 0.167518616575 543.410935896
24.2 0.444160736539 0.165217740166 540.05431228
24.3 0.443976559412 0.162957759968 536.855613688
24.4 0.44376677472 0.160737785246 533.657085161
24.5 0.443581822694 0.158556948206 530.519134077
24.6 0.443368155397 0.156414403313 527.377160435
24.7 0.443192281341 0.154309326633 524.309992504
24.8 0.442998833477 0.152240915194 521.251351879
24.9 0.442785408246 0.150208386374 518.198366234
25.0 0.442618701267 0.148210977307 515.228658744
25.1 0.442415972667 0.146247944305 512.245173746
25.2 0.442228160302 0.144318562302 509.306869083
25.3 0.442048789419 0.142422124321 506.40568349
25.4 0.441870574338 0.140557940946 503.532799406
25.5 0.441667426274 0.138725339826 500.658268127
25.6 0.44149863066 0.136923665186 497.849037027
25.7 0.441313001681 0.135152277352 495.046735867
25.8 0.441137602534 0.133410552299 492.281524229
25.9 0.440962171413 0.131697881208 489.541500447
26.0 0.440769634863 0.130013670041 486.807483176
26.1 0.440598502095 0.128357339122 484.121756721
26.2 0.440450427242 0.126728322743 481.48545169
26.3 0.440245176297 0.125126068769 478.810611989
26.4 0.44007614699 0.123550038268 476.198947936
26.5 0.439921819662 0.121999705145 473.626393442
26.6 0.439744968667 0.120474555788 471.052540209
26.7 0.439367333038 0.118974088728 468.287470315
26.8 0.439169852608 0.117497814308 465.73809212
26.9 0.439015032063 0.116045254359 463.256156613
27.0 0.43884836365 0.114615941894 460.78348318
27.1 0.438682011248 0.113209420802 458.332696681
27.2 0.4385085431 0.11182524556 455.895800185
27.3 0.43836900159 0.110462980946 453.515101654
27.4 0.438192663518 0.109122201764 451.117019165
27.5 0.438011070377 0.10780249258 448.734170135
27.6 0.437641941947 0.106503447464 446.180545904
27.7 0.437494384177 0.105224669737 443.873743698
27.8 0.437340879018 0.103965771726 441.580524512
