# R appU appV SNR contamination
126.8 22.2005962677 21.1005962677 12.1773373471 0.000117882824472
126.9 22.2023081105 21.1023081105 12.1463169044 0.0
127.0 22.2040186048 21.1040186048 12.1153832903 0.000351205806603
127.1 22.2057277528 21.1057277528 12.0845362954 0.0
127.2 22.2074355566 21.1074355566 12.0537757098 0.000234082397004
127.3 22.2091420183 21.1091420183 12.0231013241 0.00011739845034
127.4 22.21084714 21.11084714 11.9925129283 0.000117605550982
127.5 22.2125509238 21.1125509238 11.9620103126 0.00011798017933
127.6 22.2142533719 21.1142533719 11.931593267 0.0
127.7 22.2159544863 21.1159544863 11.9012615815 0.000117952347252
127.8 22.2176542691 21.1176542691 11.8710150461 0.000117041198502
127.9 22.2193527224 21.1193527224 11.8408534508 0.000118245240629
128.0 22.2210498482 21.1210498482 11.8107765853 0.000235128144839
128.1 22.2227456487 21.1227456487 11.7807842395 0.000234521575985
128.2 22.2244401259 21.1244401259 11.7508762032 0.000117315814172
128.3 22.2261332819 21.1261332819 11.7210522663 0.000118077695123
128.4 22.2278251187 21.1278251187 11.6913122186 0.00035360678925
128.5 22.2295156383 21.1295156383 11.6616558498 0.000117827265229
128.6 22.2312048429 21.1312048429 11.6320829498 0.000118273211118
128.7 22.2328927345 21.1328927345 11.6025933085 0.000236518448439
128.8 22.2345793151 21.1345793151 11.5731867157 0.00011798017933
128.9 22.2362645868 21.1362645868 11.5438629612 0.000117799505242
129.0 22.2379485515 21.1379485515 11.5146218351 0.000118105586394
129.1 22.2396312113 21.1396312113 11.4854631273 0.000118231260345
129.2 22.2413125683 21.1413125683 11.4563866278 0.000237107291049
129.3 22.2429926244 21.1429926244 11.4273921267 0.0
129.4 22.2446713817 21.1446713817 11.3984794142 0.0
129.5 22.2463488421 21.1463488421 11.3696482804 0.000357100345197
129.6 22.2480250077 21.1480250077 11.3408985157 0.000236630383341
129.7 22.2496998804 21.1496998804 11.3122299105 0.000475059382423
129.8 22.2513734623 21.1513734623 11.2836422552 0.000346140533056
129.9 22.2530457554 21.1530457554 11.2551353404 0.000356379187455
130.0 22.2547167615 21.1547167615 11.2267089567 0.000472533963379
130.1 22.2563864828 21.1563864828 11.198362895 0.0
130.2 22.2580549212 21.1580549212 11.170096946 0.000349283967866
130.3 22.2597220786 21.1597220786 11.1419109009 0.000466962409526
130.4 22.261387957 21.161387957 11.1138045508 0.000354024073637
130.5 22.2630525584 21.1630525584 11.0857776868 0.0
130.6 22.2647158847 21.1647158847 11.0578301005 0.000356760613628
130.7 22.2663779379 21.1663779379 11.0299615833 0.000354609929078
130.8 22.2680387199 21.1680387199 11.002171927 0.000475567708953
130.9 22.2696982328 21.1696982328 10.9744609234 0.00127020785219
131.0 22.2713564783 21.1713564783 10.9468283644 0.000461467466544
131.1 22.2730134585 21.1730134585 10.9192740423 0.000118483412322
131.2 22.2746691752 21.1746691752 10.8917977493 0.00104106419896
131.3 22.2763236304 21.1763236304 10.864399278 0.000698893418754
131.4 22.2779768261 21.1779768261 10.837078421 0.000463070155129
131.5 22.2796287641 21.1796287641 10.8098349713 0.000580046403712
131.6 22.2812794464 21.1812794464 10.7826687217 0.000463392029657
131.7 22.2829288748 21.1829288748 10.7555794657 0.000237051084509
131.8 22.2845770513 21.1845770513 10.7285669967 0.000466254808253
131.9 22.2862239777 21.1862239777 10.7016311082 0.000693802035153
132.0 22.287869656 21.187869656 10.6747715941 0.000349121377866
132.1 22.2895140881 21.1895140881 10.6479882485 0.00140056022409
132.2 22.2911572757 21.1911572757 10.6212808657 0.00069654051544
