# a rho dNda dNdaerr
10.9 3.38280035693 2466.82309668 790.671698014
11.0 3.26861300109 2428.29226251 804.55623194
11.1 3.15926167986 2390.00674719 818.316936956
11.2 3.05450074055 2351.88893104 831.913612072
11.3 2.95409904678 2315.94163086 846.062330844
11.4 2.85783900239 2281.02223489 860.387573042
11.5 2.76551564869 2246.72032588 874.746422162
11.6 2.67693582913 2213.06485028 889.153293118
11.7 2.59191741577 2180.18797467 903.667405634
11.8 2.51028859251 2148.0362138 918.276109142
11.9 2.43188719045 2116.48843897 932.934965671
12.0 2.3565600712 2085.39726992 947.581828527
12.1 2.28416255437 2054.54537794 962.114216673
12.2 2.21455788567 2023.65776064 976.389841251
12.3 2.14761674244 1994.34706757 991.188588672
12.4 2.08321677382 1965.48709157 1005.98362859
12.5 2.02124217263 1937.14820824 1020.81301007
12.6 1.96158327689 1908.7005813 1035.33974109
12.7 1.90413619831 1880.29208193 1049.62175677
12.8 1.84880247611 1853.26228483 1064.41032209
12.9 1.79548875399 1826.49466018 1079.09344713
13.0 1.74410647867 1799.27441827 1093.23058711
13.1 1.6945716184 1772.98272735 1107.64172649
13.2 1.6468043999 1747.31616829 1122.16021148
13.3 1.60072906247 1722.19997635 1136.75019046
13.4 1.55627362806 1697.59685411 1151.39669845
13.5 1.51336968602 1673.61234203 1166.18231075
13.6 1.47195219161 1650.095744 1181.01491279
13.7 1.43195927732 1627.09804831 1195.93997567
13.8 1.39333207594 1604.64834076 1210.99111017
13.9 1.35601455475 1582.50294104 1225.99373459
14.0 1.31995335996 1560.99226586 1241.21072857
14.1 1.28509767072 1539.88080598 1256.47104437
14.2 1.25139906202 1519.21267017 1271.8188686
14.3 1.21881137598 1498.87049221 1287.16412197
14.4 1.18729060081 1479.11342362 1302.73873011
14.5 1.15679475704 1459.65373489 1318.30436779
14.6 1.12728379059 1440.5826637 1333.94846178
14.7 1.098719472 1421.83668661 1349.62042115
14.8 1.07106530172 1403.54001188 1365.44692837
14.9 1.04428642081 1385.5803015 1381.33130652
15.0 1.01834952686 1367.15842868 1396.46519075
15.1 0.993222794743 1349.81287777 1412.40707985
15.2 0.96887580186 1332.97756499 1428.61453436
15.3 0.94527945766 1316.35132196 1444.77995571
15.4 0.922405937114 1300.12784249 1461.12131227
15.5 0.900228617928 1284.15139616 1477.4755158
15.6 0.878722021239 1268.54029415 1493.9861068
15.7 0.857861755597 1253.146739 1510.48934654
15.8 0.837624464028 1238.10486534 1527.15337354
15.9 0.817987773979 1223.32793036 1543.88324022
16.0 0.798930249991 1208.80139823 1560.6678744
16.1 0.780431348917 1194.52256218 1577.51060356
16.2 0.762471377544 1180.52253326 1594.46057003
16.3 0.745031452471 1166.79585364 1611.52067298
16.4 0.728093462116 1153.29318134 1628.63173384
16.5 0.711640030722 1140.03109741 1645.82409273
16.6 0.69565448424 1127.0092666 1663.105679
16.7 0.680120817999 1114.1996958 1680.44315427
16.8 0.665023666036 1101.68925112 1697.97700636
16.9 0.650348272011 1089.25681638 1715.37479364
17.0 0.636080461604 1077.16389866 1733.05112316
17.1 0.622206616317 1065.2105439 1750.69841011
17.2 0.608713648598 1053.48319416 1768.46257752
17.3 0.595588978215 1041.95624826 1786.31003376
17.4 0.582820509813 1030.65526734 1804.29355747
17.5 0.570396611578 1019.45808565 1822.20608042
17.6 0.558306094963 1008.52509573 1840.3384236
17.7 0.546538195405 997.726949163 1858.46616934
17.8 0.535082553985 987.147673036 1876.75133943
17.9 0.523929199976 976.540962729 1894.72841275
18.0 0.513068534239 965.872612642 1912.31329911
18.1 0.502491313413 955.771674575 1930.75595197
18.2 0.492188634858 945.867256537 1949.34778969
18.3 0.482151922318 936.087046512 1967.94832895
18.4 0.47237291226 926.303016189 1986.28597324
18.5 0.462843640853 916.392397475 2004.07906652
18.6 0.453556431557 906.726888158 2022.1272514
18.7 0.444503883292 897.616868802 2041.15524532
18.8 0.435678859146 888.583422035 2060.1137432
18.9 0.427074475615 879.712982833 2079.20518972
19.0 0.418684092321 870.791886125 2097.9249367
19.1 0.410501302213 861.865437646 2116.36508543
19.2 0.402519922198 853.423576189 2135.73859783
19.3 0.394733984206 845.03981379 2155.0145304
19.4 0.387137726646 836.547413768 2173.75623424
19.5 0.37972558625 827.981526328 2192.02895374
19.6 0.372492190276 819.284508632 2209.65403763
19.7 0.365432349053 811.460282553 2229.35724977
19.8 0.358541048862 803.745751046 2249.12364187
19.9 0.351813445116 796.132869891 2268.935877
20.0 0.345244855846 788.574614742 2288.66209423
20.1 0.338830755466 780.838147395 2307.61158617
20.2 0.332566768806 773.559356579 2327.65770143
20.3 0.326448665401 766.388683293 2347.79244536
20.4 0.320472354025 759.337345649 2368.05763131
20.5 0.314633877454 752.377051914 2388.37246905
20.6 0.308929407453 745.534965828 2408.82930911
20.7 0.303355239973 738.740382289 2429.20515366
20.8 0.297907790546 732.09836632 2449.8491513
20.9 0.292583589881 725.510705964 2470.44303465
21.0 0.287379279627 719.020089467 2491.13385921
21.1 0.282291608326 712.625742649 2511.92587371
21.2 0.277317427526 706.336982131 2532.85962187
21.3 0.272453688046 700.097773723 2553.7398711
21.4 0.267697436409 693.96104935 2574.76200834
21.5 0.2630458114 687.925486035 2595.93018786
21.6 0.258496040783 681.935015538 2617.03847492
21.7 0.254045438129 676.070597207 2638.40148318
21.8 0.249691399789 670.225639257 2659.61093197
21.9 0.245431401974 664.50039091 2681.06521265
22.0 0.241262997959 658.855559048 2702.61725991
22.1 0.237183815394 653.27056368 2724.18779483
22.2 0.233191553716 647.537917708 2744.8998383
22.3 0.229283981673 641.950925329 2765.97647506
22.4 0.225458934932 636.588764326 2787.78499165
22.5 0.221714313789 631.279857568 2809.59986353
22.6 0.218048080961 626.076461533 2831.65937475
22.7 0.214458259467 620.890525586 2853.57239093
22.8 0.210942930586 615.8206468 2875.79378062
22.9 0.207500231896 610.780251306 2897.92930883
23.0 0.204128355386 605.509337024 2918.72305854
23.1 0.200825545639 600.582553339 2940.92669156
23.2 0.197590098082 595.741991055 2963.32713407
23.3 0.194420357306 590.947054289 2985.73023115
23.4 0.191314715441 586.249750525 3008.40452551
23.5 0.188271610597 581.574096542 3030.96830354
23.6 0.185289525364 576.959986934 3053.62896188
23.7 0.182366985359 572.430206671 3076.51501542
23.8 0.179502557834 567.944126352 3099.41668453
23.9 0.176694850333 563.44896251 3122.04360151
24.0 0.173942509394 558.709671126 3143.06235013
24.1 0.171244219303 554.188084633 3165.03887387
24.2 0.168598700889 549.894235647 3188.07805348
24.3 0.166004710364 545.693199582 3211.43632042
24.4 0.163461038205 541.508959199 3234.67547659
24.5 0.160966508073 537.403290534 3258.16600134
24.6 0.158519975774 533.309087387 3281.50766288
