# N l b R fracMedian appU appV Au Av SNR
62 234.894816926 34.0069151868 148.3 0.000116259328629 22.6876810877 21.5796836908 0.146975332536 0.138977935683 6.93847994693
63 236.524213507 35.9251859282 147.9 0.000117177186988 22.6872151213 21.5789239521 0.152374251354 0.1440830821 6.944485063
64 238.236177735 37.8191691973 135.0 0.00011137075418 22.6890757851 21.5699001988 0.352406942621 0.333231356315 6.94886326148
65 240.039744541 39.685862543 144.7 0.000118222900552 22.6883895417 21.5774499391 0.201046886127 0.190107283497 6.93734137652
66 241.944818463 41.5218649168 142.5 0.000118532543141 22.6877114836 21.5749985401 0.233637161907 0.220924218373 6.94924820118
67 243.962221557 43.323316812 138.7 0.000118155365913 22.6896218735 21.5736113596 0.294239568114 0.278229054272 6.93521674881
68 246.103716625 45.0858334535 139.6 0.000120132074337 22.6890815496 21.5738646581 0.279654458165 0.264437566698 6.93951098263
69 248.381990247 46.8044315834 135.8 0.000119832410635 22.6890451901 21.5705693902 0.339546340331 0.321070540436 6.9475717511
70 250.810574103 48.4734513582 142.1 0.000124387261597 22.6889675313 21.5758541078 0.240997141674 0.227883718155 6.93586949719
71 253.40367583 50.0864763625 143.5 0.00012642664244 22.6878155981 21.5759232637 0.218556092773 0.206663758336 6.94612775114
72 256.1758826 51.6362569534 141.9 0.000127629859235 22.6891602 21.5758698748 0.24424822269 0.230957897479 6.9340906379
73 259.141692874 53.1146450984 144.4 0.000129993715684 22.6880207297 21.5768559719 0.205184763521 0.194020005777 6.94207489414
74 262.314827432 54.5125529445 142.8 0.000131379287817 22.6880569961 21.5755737417 0.229415958915 0.216932704506 6.94476575156
75 265.707273539 55.8199519056 147.2 0.000133907820689 22.6876304635 21.5787561393 0.163091413528 0.15421708928 6.94112554471
76 269.328033313 57.0259339652 152.8 0.000136097315507 22.6866432245 21.5822343166 0.0810264532827 0.076617545398 6.94183017171
77 273.181586712 58.1188605231 150.5 0.000137558361699 22.6872308757 21.5809979331 0.114548376082 0.108315433406 6.93944476857
78 277.266148224 59.0866243971 149.1 0.000139027303412 22.6879299008 21.5805546453 0.135541683519 0.128166427995 6.93417784747
79 281.571894525 59.9170444828 151.6 0.000139769402448 22.6866836923 21.5813409869 0.0981876857765 0.092844980469 6.94357795669
80 286.079453465 60.5983970638 149.0 0.000140701409412 22.6879080157 21.5804546778 0.136976673612 0.129523335698 6.93461128255
81 290.759036167 61.120061594 148.9 0.000141481231353 22.6870301001 21.5795452059 0.137556611327 0.130071717151 6.94469116721
82 295.570608102 61.4732248259 151.0 0.000142250825552 22.6873409596 21.5814939236 0.107456223108 0.101609187108 6.93727870074
83 300.465377764 61.6515542075 149.8 0.000143022762586 22.6877549046 21.5809425996 0.125195837803 0.118383532759 6.93484259239
84 305.388619618 61.651732958 150.8 0.0001437933715 22.6872520339 21.5812532339 0.110245326189 0.10424652619 6.93865047883
85 310.283502251 61.4737577113 152.0 0.000144559181541 22.6873274593 21.5822610733 0.0931095196214 0.0880431335391 6.93558795679
86 315.09529185 61.1209388247 149.4 0.000145317122967 22.6873386222 21.5802330411 0.130585634783 0.123480053686 6.94027786566
87 319.775181806 60.5996032871 146.9 0.000146069846223 22.6873526344 21.5782523734 0.167243655417 0.158143394439 6.94482632012
88 324.283118122 59.9185600282 147.3 0.000146813255363 22.6875323123 21.578743571 0.161518578045 0.152729836795 6.94204256817
89 328.589290851 59.0884266882 148.3 0.00014754997285 22.6868903299 21.5789359607 0.14618457472 0.138230205523 6.94739441578
90 332.674307587 58.1209254524 141.5 0.000148267725034 22.6888968975 21.5752873586 0.250114698168 0.236505159305 6.93784002131
91 336.528327267 57.0282370846 142.0 0.000148978709743 22.687980528 21.5748376308 0.241538806073 0.228395908866 6.94719058024
92 340.149550038 55.8224693551 140.0 0.000149683792362 22.6881281742 21.5733012328 0.272487995811 0.257661054429 6.94946757307
93 343.542445111 54.5152621047 139.0 0.000150351224865 22.6888773951 21.5731626808 0.288803393785 0.273088679535 6.94300705496
94 346.716007181 53.1175249936 143.1 0.000151021280382 22.688784434 21.5765095655 0.225586265251 0.213311396696 6.93598406504
95 349.682218889 51.6392884528 142.5 0.000151672345804 22.689147818 21.5763567189 0.235073496271 0.222282397201 6.93305878494
96 352.454798592 50.0896422372 140.3 0.000152290385261 22.6891372941 21.5745083654 0.268848938979 0.254220010292 6.93749532564
97 355.048243984 48.4767362167 138.1 0.000152910369694 22.6884663363 21.5720064579 0.302497943398 0.286038065003 6.9494459906
